date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:56	78066/78066	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:00:57%20GMT	https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora	C:/My%20Web%20Sites/roblox/www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora.html	(from )
18:00:56	333/333	---M-Z	200	added ('OK')	text/plain	etag:%220dd1266edd31:0%22	https://www.roblox.com/robots.txt		(from )
18:00:57	181/181	---M--	302	error ('Found')	text/html	date:Fri,%2018%20May%202018%2022:00:58%20GMT	https://www.roblox.com/catalog/1029025/POST	C:/My%20Web%20Sites/roblox/www.roblox.com/catalog/1029025/POST.1.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:00:57	9662/9662	---M-Z	200	added ('OK')	image/x-icon	etag:%221387da00c070fd34110985aee87f3155%22	https://images.rbxcdn.com/1387da00c070fd34110985aee87f3155.ico.gzip	C:/My%20Web%20Sites/roblox/images.rbxcdn.com/1387da00c070fd34110985aee87f3155.ico.ico	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:00:57	229609/229609	---M--	200	added ('OK')	text/css	date:Sun,%2001%20Jan%202006%2006:00:00%20GMT	https://static.rbxcdn.com/css/leanbase___964aab9c6c2c6efcdf14d6fdec787a24_m.css/fetch	C:/My%20Web%20Sites/roblox/static.rbxcdn.com/css/leanbase___964aab9c6c2c6efcdf14d6fdec787a24_m.css/fetch.css	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:00:59	44838/44838	---M--	200	added ('OK')	text/css	date:Sun,%2001%20Jan%202006%2006:00:00%20GMT	https://static.rbxcdn.com/css/page___0df47b251aa20348fa003dd45aca757e_m.css/fetch	C:/My%20Web%20Sites/roblox/static.rbxcdn.com/css/page___0df47b251aa20348fa003dd45aca757e_m.css/fetch.css	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:00:59	7203/7203	---M-Z	200	added ('OK')	application/javascript	etag:%22091e947cc33d21:0%22	http://ajax.aspnetcdn.com/ajax/jquery.migrate/jquery-migrate-1.2.1.min.js	C:/My%20Web%20Sites/roblox/ajax.aspnetcdn.com/ajax/jquery.migrate/jquery-migrate-1.2.1.min.js	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:01	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:%220b9275cc33d21:0%22	http://ajax.aspnetcdn.com/ajax/jQuery/jquery-1.11.1.min.js	C:/My%20Web%20Sites/roblox/ajax.aspnetcdn.com/ajax/jQuery/jquery-1.11.1.min.js	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:01	4468/4468	---M--	200	added ('OK')	application/javascript	etag:%225fe5266a5e8076e29a5f31b8147df205%22	https://js.rbxcdn.com/5fe5266a5e8076e29a5f31b8147df205.js.gzip	C:/My%20Web%20Sites/roblox/js.rbxcdn.com/5fe5266a5e8076e29a5f31b8147df205.js.gzip	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:01	765/765	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2022:01:02%20GMT	https://www.google.com/recaptcha/api.js?render=explicit	C:/My%20Web%20Sites/roblox/www.google.com/recaptcha/apib091.js	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:02	49333/49333	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:02%20GMT	https://www.roblox.com/games	C:/My%20Web%20Sites/roblox/www.roblox.com/games.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:02	67133/67133	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:03%20GMT	https://www.roblox.com/	C:/My%20Web%20Sites/roblox/www.roblox.com/index.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:02	124/124	---M--	302	error ('Found')	text/html	date:Fri,%2018%20May%202018%2022:01:04%20GMT	https://www.roblox.com/develop	C:/My%20Web%20Sites/roblox/www.roblox.com/develop.a.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:03	40575/40575	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:03%20GMT	https://www.roblox.com/catalog/	C:/My%20Web%20Sites/roblox/www.roblox.com/catalog/index.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:03	45973/45973	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:04%20GMT	https://www.roblox.com/create	C:/My%20Web%20Sites/roblox/www.roblox.com/create.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:04	43674/43674	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:05%20GMT	https://www.roblox.com/upgrades/robux?ctx=nav	C:/My%20Web%20Sites/roblox/www.roblox.com/upgrades/robux1e43.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:06	184/184	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20May%202018%2022:01:06%20GMT	https://www.roblox.com/catalog/browse.aspx?CatalogContext=1&Keyword=	C:/My%20Web%20Sites/roblox/www.roblox.com/catalog/browse.d04e0.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:06	55695/55695	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:07%20GMT	https://www.roblox.com/search/users?keyword=	C:/My%20Web%20Sites/roblox/www.roblox.com/search/users4176.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:07	40703/40703	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:07%20GMT	https://www.roblox.com/catalog/?CatalogContext=1&Keyword=	C:/My%20Web%20Sites/roblox/www.roblox.com/catalog/index04e0.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:07	168/168	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20May%202018%2022:01:08%20GMT	https://www.roblox.com/groups/search.aspx?val=	C:/My%20Web%20Sites/roblox/www.roblox.com/groups/search.f39c3.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:08	49388/49388	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:09%20GMT	https://www.roblox.com/games/?Keyword=	C:/My%20Web%20Sites/roblox/www.roblox.com/games/indexf09d.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:08	55762/55762	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:09%20GMT	https://www.roblox.com/search/groups?keyword=	C:/My%20Web%20Sites/roblox/www.roblox.com/search/groups4176.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:10	255/255	---M--	302	error ('Found')	text/html	date:Fri,%2018%20May%202018%2022:01:11%20GMT	https://www.roblox.com/develop/library?CatalogContext=2&Category=6&Keyword=	C:/My%20Web%20Sites/roblox/www.roblox.com/develop/library.113a7d.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:11	54018/54018	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:12%20GMT	https://www.roblox.com/NewLogin?ReturnUrl=%2fdevelop%2flibrary%3fCatalogContext%3d2%26Category%3d6%26Keyword%3d&CatalogContext=2&Category=6&Keyword=	C:/My%20Web%20Sites/roblox/www.roblox.com/NewLoginb304.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:12	67163/67163	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:12%20GMT	https://www.roblox.com/account/signupredir	C:/My%20Web%20Sites/roblox/www.roblox.com/account/signupredir.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:12	1636/1636	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:14%20GMT	https://www.roblox.com/user-sponsorship/1	C:/My%20Web%20Sites/roblox/www.roblox.com/user-sponsorship/1.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:13	25742/25742	---M--	200	added ('OK')	image/png	etag:%22fc44cff9167f10c10397cfa3a38645fd%22	https://t0.rbxcdn.com/fc44cff9167f10c10397cfa3a38645fd	C:/My%20Web%20Sites/roblox/t0.rbxcdn.com/fc44cff9167f10c10397cfa3a38645fd.png	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:13	167/167	---M--	302	error ('Found')	text/html	date:Fri,%2018%20May%202018%2022:01:15%20GMT	https://www.roblox.com/adventure-catalog	C:/My%20Web%20Sites/roblox/www.roblox.com/adventure-catalog.16.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:14	95633/95633	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:14%20GMT	https://www.roblox.com/users/1/profile/	C:/My%20Web%20Sites/roblox/www.roblox.com/users/1/profile/index.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:14	184/184	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20May%202018%2022:01:15%20GMT	https://www.roblox.com/catalog/browse.aspx?CatalogContext=1&Genres=7	C:/My%20Web%20Sites/roblox/www.roblox.com/catalog/browse.17ca00.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:15	40704/40704	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:16%20GMT	https://www.roblox.com/catalog/?CatalogContext=1&Genres=7	C:/My%20Web%20Sites/roblox/www.roblox.com/catalog/indexca00.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:15	45320/45320	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:16%20GMT	https://www.roblox.com/premium/membership?ctx=bc-only-item	C:/My%20Web%20Sites/roblox/www.roblox.com/premium/membership4c11.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:17	1615/1615	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:18%20GMT	https://www.roblox.com/user-sponsorship/2	C:/My%20Web%20Sites/roblox/www.roblox.com/user-sponsorship/2.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:17	186/186	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20May%202018%2022:01:19%20GMT	http://corp.roblox.com/parents	C:/My%20Web%20Sites/roblox/corp.roblox.com/parents.1a.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:17	186/186	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20May%202018%2022:01:19%20GMT	http://corp.roblox.com/	C:/My%20Web%20Sites/roblox/corp.roblox.com/index.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:19	42133/42133	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:19%20GMT	https://corp.roblox.com/careers/	C:/My%20Web%20Sites/roblox/corp.roblox.com/careers/index.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:19	31057/31057	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:19%20GMT	https://blog.roblox.com/	C:/My%20Web%20Sites/roblox/blog.roblox.com/index.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20May%202018%2022:01:20%20GMT	https://corp.roblox.com/parents	C:/My%20Web%20Sites/roblox/corp.roblox.com/parents.1b.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:20	152/152	---M--	302	error ('Found')	text/html	date:Fri,%2018%20May%202018%2022:01:21%20GMT	https://www.roblox.com/help	C:/My%20Web%20Sites/roblox/www.roblox.com/help.1c.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:20	41117/41117	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:22%20GMT	https://corp.roblox.com/parents/	C:/My%20Web%20Sites/roblox/corp.roblox.com/parents/index.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:21	13175/13175	---MCZ	200	added ('OK')	text/html	etag:W/%228023d211c42172fb6fda4d80b307555d%22	https://en.help.roblox.com/hc/en-us	C:/My%20Web%20Sites/roblox/en.help.roblox.com/hc/en-us.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:21	194/194	---M--	302	error ('Found')	text/html	date:Fri,%2018%20May%202018%2022:01:22%20GMT	https://www.roblox.com/info/terms?locale=en_us	C:/My%20Web%20Sites/roblox/www.roblox.com/info/terms.1e67f2.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:21	77262/77262	---MCZ	200	added ('OK')	text/html	etag:W/%229b8d117504cc79451e0806c01eda8f9e%22	https://en.help.roblox.com/hc/en-us/articles/115004647846-Roblox-Terms-of-Use	C:/My%20Web%20Sites/roblox/en.help.roblox.com/hc/en-us/articles/115004647846-Roblox-Terms-of-Use.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:21	208/208	---M--	302	error ('Found')	text/html	date:Fri,%2018%20May%202018%2022:01:23%20GMT	https://www.roblox.com/info/privacy?locale=en_us	C:/My%20Web%20Sites/roblox/www.roblox.com/info/privacy.2067f2.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:22	48720/48720	---MCZ	200	added ('OK')	text/html	etag:W/%22759cdcc429e5d24381611fd38f2e586c%22	https://en.help.roblox.com/hc/en-us/articles/115004630823-Roblox-Privacy-and-Cookie-Policy-	C:/My%20Web%20Sites/roblox/en.help.roblox.com/hc/en-us/articles/115004630823-Roblox-Privacy-and-Cookie-Policy-.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:22	38929/38929	---M-Z	200	added ('OK')	image/svg+xml	etag:%226304dfebadecbb3b338a79a6a528936c%22	https://images.rbxcdn.com/6304dfebadecbb3b338a79a6a528936c.svg.gzip	C:/My%20Web%20Sites/roblox/images.rbxcdn.com/6304dfebadecbb3b338a79a6a528936c.svg.svg	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:23	10529/10529	---M--	200	added ('OK')	image/gif	etag:%224bed93c91f909002b1f17f05c0ce13d1%22	https://images.rbxcdn.com/4bed93c91f909002b1f17f05c0ce13d1.gif	C:/My%20Web%20Sites/roblox/images.rbxcdn.com/4bed93c91f909002b1f17f05c0ce13d1.gif	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:23	632/632	---M-Z	200	added ('OK')	image/svg+xml	etag:%223da410727fa2670dcb4f31316643138a%22	https://images.rbxcdn.com/3da410727fa2670dcb4f31316643138a.svg.gzip	C:/My%20Web%20Sites/roblox/images.rbxcdn.com/3da410727fa2670dcb4f31316643138a.svg.svg	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:23	216/216	---M--	302	error ('Found')	text/html	date:Fri,%2018%20May%202018%2022:01:25%20GMT	https://assetgame.roblox.com/game/help	C:/My%20Web%20Sites/roblox/assetgame.roblox.com/game/help.25.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:24	18151/18151	---MCZ	200	added ('OK')	text/html	etag:W/%2227be804591f0d4a313304959b5a29386%22	https://en.help.roblox.com/hc/en-us/articles/204473560-How-to-Install-and-Play-Roblox-Using-Browser	C:/My%20Web%20Sites/roblox/en.help.roblox.com/hc/en-us/articles/204473560-How-to-Install-and-Play-Roblox-Using-Browser.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:24	45290/45290	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:25%20GMT	https://www.roblox.com/premium/membership?ctx=preroll	C:/My%20Web%20Sites/roblox/www.roblox.com/premium/membership2fec.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:25	53867/53867	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:27%20GMT	https://www.roblox.com/newlogin?returnUrl=https%3A%2F%2Fwww.roblox.com%2Fcatalog%2F1029025%2FThe-Classic-ROBLOX-Fedora	C:/My%20Web%20Sites/roblox/www.roblox.com/newlogin3a7e.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:26	67428/67428	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:01:26%20GMT	https://www.roblox.com/?returnUrl=https%3A%2F%2Fwww.roblox.com%2Fcatalog%2F1029025%2FThe-Classic-ROBLOX-Fedora	C:/My%20Web%20Sites/roblox/www.roblox.com/index3a7e.html	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
18:01:26	154/154	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20May%202018%2022:01:27%20GMT	https://www.roblox.com/install/download.aspx	C:/My%20Web%20Sites/roblox/www.roblox.com/install/download.29.delayed	(from https://www.roblox.com/catalog/1029025/The-Classic-ROBLOX-Fedora)
